2016/01/01 18:23:32 Process Name : chrome#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 1.1447127968707327, RAM usage : 122672.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5616, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#4, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 29852.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5892, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#5, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 47984.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3344, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#6, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 34128.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4500, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#7, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 39316.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3084, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#8, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 273656.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5468, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#9, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 63264.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3604, Type : Windows
2016/01/01 18:23:32 Process Name : cmw_srv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 10576.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3124, Type : Windows
2016/01/01 18:23:32 Process Name : conhost#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1004.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1872, Type : Windows
2016/01/01 18:23:32 Process Name : devenv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 212692.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3828, Type : Windows
2016/01/01 18:23:32 Process Name : dwm, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.8223170045999229, RAM usage : 21980.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5208, Type : Windows
2016/01/01 18:23:32 Process Name : explorer, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 96376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2676, Type : Windows
2016/01/01 18:23:32 Process Name : hsswd, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3440.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1920, Type : Windows
2016/01/01 18:23:32 Process Name : igfxpers, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1452.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5268, Type : Windows
2016/01/01 18:23:32 Process Name : igfxsrvc, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2364.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5412, Type : Windows
2016/01/01 18:23:32 Process Name : igfxtray, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1988, Type : Windows
2016/01/01 18:23:32 Process Name : lsass, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5304.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 644, Type : Windows
2016/01/01 18:23:32 Process Name : mDNSResponder, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2052.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1484, Type : Windows
2016/01/01 18:23:32 Process Name : mspdbsrv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3380.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3360, Type : Windows
2016/01/01 18:23:32 Process Name : spoolsv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3544.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1288, Type : Windows
2016/01/01 18:23:32 Process Name : sqlwriter, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1436.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2256, Type : Windows
2016/01/01 18:23:32 Process Name : ssh-agent, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3964.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3948, Type : Windows
2016/01/01 18:23:32 Process Name : svchost, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5104.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 716, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#1, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5612.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 760, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 7.990649942334356, RAM usage : 32360.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 924, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 40108.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 948, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#4, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 14176.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 984, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#5, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 10348.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 260, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#6, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 16648.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 324, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#7, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 24920.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1324, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#8, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2948.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2704, Type : Windows
2016/01/01 18:23:32 Process Name : svchost#9, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2644.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4252, Type : Windows
